file_name,title,artist,genre,composers,performers,release_year,corpus,chord_progression_original,chord_progression
real-book_1648.jams,March Of The Bobcats,,jazz,,,,,F:maj F:maj F:maj C:7 F:maj F:maj C:7 F:maj F:maj C:7 F:maj F:maj C:7 F:maj C:7 F:maj F:maj D:7 F:maj D:7 C:7 G:min C:7 G:min C:7 F:maj F:maj C:7 F:maj F:maj C:7 F:maj C:7 F:maj F:maj C:7 F:maj F:maj C:7 F:maj F:maj C:7 F:maj F:maj C:7 F:maj F:maj C:7 F:maj C:7 F:maj F:maj D:7 F:maj D:7 C:7 G:min C:7 G:min C:7 F:maj F:maj C:7 F:maj F:maj C:7 F:maj C:7 F:maj F:maj C:7 F:maj F:maj C:7 F:maj F:maj C:7 F:maj F:maj C:7 F:maj F:maj C:7 F:maj C:7 F:maj F:maj D:7 F:maj D:7 C:7 G:min C:7 G:min C:7 F:maj F:maj C:7 F:maj F:maj C:7 F:maj C:7 F:maj F:maj C:7 F:maj F:maj C:7 F:maj F:maj C:7 F:maj F:maj C:7 F:maj F:maj C:7 F:maj C:7 F:maj F:maj D:7 F:maj D:7 C:7 G:min C:7 G:min C:7 F:maj F:maj C:7 F:maj F:maj C:7 F:maj C:7 F:maj F:maj C:7,<noparts> F C7 F C7 F C7 F C7 F C7 F D7 F D7 C7 Gmin C7 Gmin C7 F C7 F C7 F C7 F C7 F C7 F C7 F C7 F C7 F C7 F D7 F D7 C7 Gmin C7 Gmin C7 F C7 F C7 F C7 F C7 F C7 F C7 F C7 F C7 F C7 F D7 F D7 C7 Gmin C7 Gmin C7 F C7 F C7 F C7 F C7 F C7 F C7 F C7 F C7 F C7 F D7 F D7 C7 Gmin C7 Gmin C7 F C7 F C7 F C7 F C7
real-book_2832.jams,My Mary,,jazz,,,,,E:maj D:7 C#:7 F#:7 B:7 E:maj B:7 E:maj B:7 E:maj E:7 A:maj Bb:dim E:maj E:7 A:maj Bb:dim E:maj C#:7 F#:7 B:7 E:maj B:7 E:maj E:7 A:maj Bb:dim E:maj E:7 A:maj Bb:dim E:maj C#:7 F#:7 B:7 E:maj B:7 E:maj E:maj E:7 A:maj Bb:dim E:maj C#:7 F#:7 B:7 E:maj E:7 A:maj Bb:dim E:maj C#:7 F#:7 B:7 E:maj E:7 A:maj Bb:dim E:maj Eb:7 D:7 C#:7 F#:7 B:7 B:7 E:maj E:7 A:maj F#:7 B:7 E:maj C#:7 F#:7 B:7 E:maj,<noparts> E D7 C#7 F#7 B7 E B7 E B7 E E7 A Bbdim E E7 A Bbdim E C#7 F#7 B7 E B7 E E7 A Bbdim E E7 A Bbdim E C#7 F#7 B7 E B7 E E7 A Bbdim E C#7 F#7 B7 E E7 A Bbdim E C#7 F#7 B7 E E7 A Bbdim E Eb7 D7 C#7 F#7 B7 E E7 A F#7 B7 E C#7 F#7 B7 E
real-book_533.jams,Lazy River,,jazz,,,,,D:7 G:7 C:maj A:7 D:7 G:7 C:maj C:maj B:7 Bb:7 A:7 A:7 D:7 D:7 G:7 C:maj G:7 C:maj C:maj B:7 Bb:7 A:7 A:7 D:7 D:7 F:maj F#:dim C:maj B:7 A:7 D:9 G:7 C:maj B:7 A:7 D:9 G:7 C:maj6,<noparts> D7 G7 C A7 D7 G7 C B7 Bb7 A7 D7 G7 C G7 C B7 Bb7 A7 D7 F F#dim C B7 A7 D9 G7 C B7 A7 D9 G7 Cadd13
weimar_9.jams,It's a Wonderful World,,jazz,Oscar Peterson,Benny Carter,1987.0,,C:maj7 E:min7 A:7 D:min G:7 C:maj7 G:7 C:maj7 E:min7 A:7 D:min7 G:7 C:7 F:7 Bb:7 C:maj7 E:min7 A:7 D:min7 G:7 C:maj7 E:min7 A:7 D:min G:7 C:maj7 G:7 C:maj7 E:min7 A:7 D:min7 G:7 C:7 F:7 Bb:7 C:maj7 E:min7 A:7 D:min7 G:7,<noparts> Cmaj7 Emin7 A7 Dmin G7 Cmaj7 G7 Cmaj7 Emin7 A7 Dmin7 G7 C7 F7 Bb7 Cmaj7 Emin7 A7 Dmin7 G7 Cmaj7 Emin7 A7 Dmin G7 Cmaj7 G7 Cmaj7 Emin7 A7 Dmin7 G7 C7 F7 Bb7 Cmaj7 Emin7 A7 Dmin7 G7
real-book_1783.jams,Little Birdy,,jazz,,,,,G:maj D:7 G:maj G:maj D:7 G:maj G:maj D:7 G:maj G:maj D:7 G:maj G:maj D:7 G:maj G:maj D:7 G:maj G:maj D:7 G:maj G:maj D:7 G:maj,<noparts> G D7 G D7 G D7 G D7 G D7 G D7 G D7 G D7 G
real-book_2046.jams,Buttermilk Mary,,jazz,,,,,A:maj D:maj A:maj E:maj A:maj D:maj A:maj E:maj A:maj A:maj D:maj A:maj E:maj A:maj D:maj A:maj E:maj A:maj A:maj B:min E:7 A:maj E:maj D:maj A:maj D:maj A:maj E:maj A:maj A:maj B:min E:7 A:maj E:maj D:maj A:maj D:maj A:maj E:maj A:maj,<noparts> A D A E A D A E A D A E A D A E A Bmin E7 A E D A D A E A Bmin E7 A E D A D A E A
real-book_125.jams,Bomps-A-Daisy,,jazz,,,,,C:maj A:min D:min7 G:7 C:maj G:7 C:maj G:min A:7 D:min A:7 D:min G:7 A:min C:min G:maj D:7 G:7 C:maj G:7 C:maj G:min A:7 D:min A:7 D:min A:7 D:min F:maj F#:dim C:maj G:min A:7 D:min A:7 D:min G:7 F:maj G:7 C:maj G:7 C:maj,<noparts> C Amin Dmin7 G7 C G7 C Gmin A7 Dmin A7 Dmin G7 Amin Cmin G D7 G7 C G7 C Gmin A7 Dmin A7 Dmin A7 Dmin F F#dim C Gmin A7 Dmin A7 Dmin G7 F G7 C G7 C
real-book_1806.jams,Mountain Road,,jazz,,,,,D:maj A:7 D:maj G:maj A:7 D:maj A:7 D:maj A:7 D:maj D:maj A:7 D:maj E:min A:7 D:maj A:7 D:maj E:min A:7 D:maj D:maj,<noparts> D A7 D G A7 D A7 D A7 D A7 D Emin A7 D A7 D Emin A7 D
real-book_1212.jams,A Way To Survive,,jazz,,,,,A:min7 D:7 A:min7 D:7 G:maj Bb:dim A:min7 D:7 G:maj7 G:maj6 G:maj7 G:maj6 A:9 Bb:9 A:9 A:7 D:7 A:min7 D:7 B:min7 Bb:min7 A:min7 D:7 G:maj7 G:maj6 G:maj7 G:maj6 A:9 Bb:9 A:7 A:9 D:7 A:min7 D:7 G:maj Ab:7 G:7 B:7 C:maj D:7 G:maj C:maj C#:dim G:maj E:min7 A:min7 D:7 B:min7 Bb:min7 A:min7 Ab:7 G:maj7 G:maj6 G:maj7 G:maj6 A:7 Bb:7 A:7 D:7 A:min7 D:7 B:min7 Bb:dim A:min7 D:9,<noparts> Amin7 D7 Amin7 D7 G Bbdim Amin7 D7 Gmaj7 Gadd13 Gmaj7 Gadd13 A9 Bb9 A9 A7 D7 Amin7 D7 Bmin7 Bbmin7 Amin7 D7 Gmaj7 Gadd13 Gmaj7 Gadd13 A9 Bb9 A7 A9 D7 Amin7 D7 G Ab7 G7 B7 C D7 G C C#dim G Emin7 Amin7 D7 Bmin7 Bbmin7 Amin7 Ab7 Gmaj7 Gadd13 Gmaj7 Gadd13 A7 Bb7 A7 D7 Amin7 D7 Bmin7 Bbdim Amin7 D9
weimar_77.jams,You'd Be So Nice to Come Home to,,jazz,Cole Porter,Chet Baker,2001.0,,G:min7 A:7 D:7 G:min7 F:min7 Bb:7 Eb:maj7 A:hdim7 D:7 Gb:dim7 G:min7 E:hdim7 A:7 A:hdim7 D:7 G:min7 A:7 D:7 G:min7 F:min7 Bb:7 Eb:maj7 E:hdim7 Bb:maj7 G:min7 E:hdim7 Bb:maj7 G:min7 C:min7 F:7 Bb:maj7 A:hdim7 D:7 G:min7 D:7 G:min7 F:min7 Bb:7 Eb:maj7 A:hdim7 D:7 Gb:dim7 G:min7 E:hdim7 A:7 A:hdim7 D:7 G:min7 A:7 D:7 G:min7 F:min7 Bb:7 Eb:maj7 E:hdim7 A:7 Bb:maj7 A:hdim7 D:7 G:min7 E:hdim7 Bb:maj7 G:min7 C:min7 G:7 Bb:maj7 A:hdim7 D:7 G:min7,<noparts> Gmin7 A7 D7 Gmin7 Fmin7 Bb7 Ebmaj7 Adim7 D7 Gbdimb7 Gmin7 Edim7 A7 Adim7 D7 Gmin7 A7 D7 Gmin7 Fmin7 Bb7 Ebmaj7 Edim7 Bbmaj7 Gmin7 Edim7 Bbmaj7 Gmin7 Cmin7 F7 Bbmaj7 Adim7 D7 Gmin7 D7 Gmin7 Fmin7 Bb7 Ebmaj7 Adim7 D7 Gbdimb7 Gmin7 Edim7 A7 Adim7 D7 Gmin7 A7 D7 Gmin7 Fmin7 Bb7 Ebmaj7 Edim7 A7 Bbmaj7 Adim7 D7 Gmin7 Edim7 Bbmaj7 Gmin7 Cmin7 G7 Bbmaj7 Adim7 D7 Gmin7
